No.,Manufacturer,Product Name,Source(Link),Category,Type
1,Cambridge Soundworks,"OontZ Angle 3 Shower Plus Edition with Alexa Bluetooth Speaker, Waterproof 10 W Portable Wireless Bluetooth 5.0 Speaker, IPX7 Waterproof Loud Speaker",https://a.co/d/2MFujvn,Audio & Visual,Smart Speakers & Displays/ Smart Speaker
2,Edifier,"Edifier WiFi Smart Speaker Without Microphone, Works with Alexa, Supports AirPlay 2, Spotify Connect, Tidal Connect, 40W RMS One-Piece Wi-Fi and Bluetooth Sound System, No Mic, MS50A",https://a.co/d/hldwLkz,Audio & Visual,Smart Speakers & Displays/ Smart Speaker
3,Amazon,Amazon Echo Pop | Full sound compact smart speaker with Alexa | Midnight Teal,https://a.co/d/ctxkWK7,Audio & Visual,Smart Speakers & Displays/ Smart Speaker
4,Bose ,"Bose SoundTouch 20 wireless speaker, works with Alexa, Black",https://a.co/d/hY6XzvT,Audio & Visual,Smart Speakers & Displays/ Smart Speaker
5,Bose ,"Bose SoundTouch 10 wireless speaker, works with Alexa, White",https://a.co/d/j1Q0jbA,Audio & Visual,Smart Speakers & Displays/ Smart Speaker
6,Bose ,"Bose SoundTouch 10 wireless speaker, works with Alexa - Black",https://a.co/d/cxxabIw,Audio & Visual,Smart Speakers & Displays/ Smart Speaker
7,Bose ,"Bose Portable Smart Speaker — Wireless Bluetooth Speaker with Alexa Voice Control Built-In, Water Resistant, Silver",https://a.co/d/2pL1eNR,Audio & Visual,Smart Speakers & Displays/ Smart Speaker
8,Bose ,Bose Home Speaker 300,https://support.bose.com/s/product/bose-home-speaker-300/01t8c00000Oyd9qAAB?language=en_US,Audio & Visual,Smart Speakers & Displays/ Smart Speaker
9,Bose ,Bose Home Speaker 500,https://www.bose.com/p/speakers/bose-smart-speaker-500/HS500-SPEAKERWIRELESS.html,Audio & Visual,Smart Speakers & Displays/ Smart Speaker
10,Sonos ,Sonos One,https://www.sonos.com/en-us/shop/one,Audio & Visual,Smart Speakers & Displays/ Smart Speaker
11,Logitech,Ultimate Ears MEGABLAST Portable Wi-Fi/Bluetooth Speaker with Hands-Free Amazon Alexa Voice Control (Waterproof) - Blizzard (Renewed),https://www.amazon.com/Ultimate-Ears-MEGABLAST-hands-free-waterproof/dp/B07S64G51B,Audio & Visual,Smart Speakers & Displays/ Smart Speaker
12,Harman Kardon,Harman Kardon Citation Series(citation MultiBeam 700),https://www.harmankardon.com/citation.html,Audio & Visual,Smart Speakers & Displays/ Smart Speaker
13,Sony,Sony SRS-XB402M,https://www.sony.com/electronics/support/speakers-wireless-speakers/srs-xb402m/specifications,Audio & Visual,Smart Speakers & Displays/ Smart Speaker
14,Sony,"Sony SRS-RA3000 360 Reality Audio Wi-Fi / Bluetooth Wireless Speaker, Works with Alexa and Google Assistant, Light Gra",https://a.co/d/3Em1wY4,Audio & Visual,Smart Speakers & Displays/ Smart Speaker
15,JBL (Harman International),JBL Link Series(JBL Link 20),https://www.jbl.com/,Audio & Visual,Smart Speakers & Displays/ Smart Speaker
16,Google,Google Nest Mini ,https://store.google.com/product/google_nest_mini?e=SharedFeatureEnablePolarisNavTest%3A%3ALaunch&hl=en-US&utm_source=google-home-rhea&utm_medium=referral&utm_content=shop-featured-devices_speakers_Nest%20Mini,Audio & Visual,Smart Speakers & Displays/ Smart Speaker
17,Google,Google Nest Audio,https://store.google.com/product/nest_audio?e=SharedFeatureEnablePolarisNavTest%3A%3ALaunch&hl=en-US&utm_source=google-home-rhea&utm_medium=referral&utm_content=shop-featured-devices_speakers_Nest%20Audio,Audio & Visual,Smart Speakers & Displays/ Smart Speaker
18,Lenovo,Lenovo Smart Display,https://www.lenovo.com/us/en/smart-display/?orgRef=https%253A%252F%252Fwww.google.com%252F,Audio & Visual,Smart Speakers & Displays/ Smart Display
19,JBL (Harman International),JBL Link View,https://www.jbl.com/voice-activated-speaker/JBL+LINK+VIEW.html,Audio & Visual,Smart Speakers & Displays/ Smart Display
20,Sony,Sony Xperia Touch,https://www.sony.com/electronics/support/mobile-phones-tablets-mobile-phones,Audio & Visual,Smart Speakers & Displays/ Smart Display
21,"Facebook Technologies, LLC",Facebook Portal+,https://www.meta.com/portal/?utm_source=chat.openai.com&utm_medium=portalredirect,Audio & Visual,Smart Speakers & Displays/ Smart Display & Smart Speaker
22,Samsung,Samsung QN43QN90CA 43 Inch Neo QLED 4K Smart TV Cord Cutting Bundle with DIRECTV Stream Device Quad-Core 4K Android TV Wireless Streaming Media Player (2023 Model),https://a.co/d/3PKC6tI,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
23,Roku,Roku Streaming Stick+,https://www.roku.com/products/streaming-stick-plus%c2%a0,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
